cost_rate,slippage_per_share,train_sharpe,test_sharpe,train_maxdd,test_maxdd
0.0,0.0,0.2691887392135264,0.35823411366414426,-1.667886251924763,-0.46394173839996833
0.0,0.01,0.2689368251865866,0.35793306531286606,-inf,-0.46437013189514864
0.0,0.05,0.26792897191225423,0.3567285918159314,-inf,-0.46609229667647223
0.0001,0.0,0.25701295565696225,0.33255080596381015,-inf,-0.4862008770040039
0.0001,0.01,0.25676010086236234,0.33224745633230524,-inf,-0.48667490317638756
0.0001,0.05,0.255748493026176,0.33103379781747594,-inf,-0.48858100717556924
0.0005,0.0,0.20787750544701597,0.22807531521908558,-inf,-0.6043790139151083
0.0005,0.01,0.20762131576560572,0.22776457670599795,-inf,-0.6051338515023132
0.0005,0.05,0.20659640401798243,0.22652145038700777,-inf,-0.6081733029863441
0.001,0.0,0.14564996782767417,0.09480513767174947,-inf,-0.8813234372339023
0.001,0.01,0.1453906268712932,0.09448963722647745,-inf,-0.8829906827951538
0.001,0.05,0.14435315762055034,0.0932275842873608,-inf,-0.8897257900872892
